text,label
kingsman fucking epic 10/10 would recommend thought could improve first one,0
'kingsman: golden circle' building bigger better james URL #entertainment_movies URL,0
rt USER_MENTION kingsman: golden circle cinemas here's interview taron egerton last year:,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
rt USER_MENTION can't wait watch kingsman! wants see it?! #kingsman,0
think imma go see kingsman tonight,0
#kingsman,0
#kingsman epic! par first! elton john though!,0
rt USER_MENTION awesome time premiere. asking suit courtesy USER_MENTION - thanks guys!,0
absolutely buzzzzzinggg see new kingsman. men suits dayum,0
got back seeing #kingsman. great sequel. two words...elton john _,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
suited booted vip screening #kingsman USER_MENTION URL,0
rt USER_MENTION kingsman's harry hart 5 characters came back dead URL,1
rt USER_MENTION kingsman: secret service URL,1
rt USER_MENTION can't wait watch kingsman! wants see it?! #kingsman,0
casi 2 malditas horas y media dura #kingsman #elcirculodeoro y solo son capaces de ponerne taron egerton sin camiseta durante 3 segundos.,1
imma go see kingsman tonight high af!,0
rt USER_MENTION training wheels. off. #kingsman: golden circle playing. get way can.,0
rt USER_MENTION q:,1
nan,1
kingsman golden circle getting mixed reviews. URL,0
nmrl kingsman e mt pica,1
rt USER_MENTION can't wait watch kingsman! wants see it?! #kingsman,0
rt USER_MENTION pug first kingsman movie attended premiere kingsman golden circle london hes wearing,0
rt USER_MENTION call shelley moore capito 202-224-6472 john mccain 202-224-2235 tell thm vote disgustg trumpcare helthcar,1
kingsman spoilers //,0
nan,0
rt USER_MENTION manners maketh good boy URL,0
rt USER_MENTION family guy brings church scene #kingsman cafeteria... (warning: extreme violence) URL,0
acabo de ver la pel cula de kingsman y la jodido viva cabr n.,1
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
rt USER_MENTION watching kingsman:,0
#kingsman amazing,0
kingsman 2 free bird .,1
rt USER_MENTION 'kingsman: golden circle' theatres lets give dynamic duo helped make first o,0
kingsman tgc genuinely one worst movies i've ever seen. awful forced outdated interminable toss - save money time,0
rt USER_MENTION manners maketh good boy URL,0
rt USER_MENTION statesman way love. #kingsman #kingsmanthegoldencirclesg URL,0
rt USER_MENTION kingsman # URL,1
rt USER_MENTION training wheels. off. #kingsman: golden circle playing. get way can.,0
USER_MENTION USER_MENTION USER_MENTION USER_MENTION i'm going see tomorrow. #kingsman,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
rt USER_MENTION pug first kingsman movie attended premiere kingsman golden circle london hes wearing,0
rt USER_MENTION training wheels. off. #kingsman: golden circle playing. get way can.,0
rt USER_MENTION maybe ve heard them? 5 reasons #kingsman: golden circle must-see bruv. URL,0
URL : kingsman 2 golden circle: channing tatum sex toy chaos revealed spent $1500! URL,1
also say writing kingsman secret service way better kingsman golden circle.,0
rt USER_MENTION 'kingsman: golden circle' theatres lets give dynamic duo helped make first o,0
'kingsman: golden circle' building bigger better james bond - entertainment tonight,0
rt USER_MENTION la pica situaci n en la hay salvar el mundo #kingsman: #elc rculodeoro ya en cines! URL,1
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
rt USER_MENTION awesome time premiere. asking suit courtesy USER_MENTION - thanks guys!,0
rated kingsman: golden circle (2017) 1/10 #imdb URL,0
rt USER_MENTION can't swipe left good old-fashioned english manners._#kingsman playing! URL URL,1
rt USER_MENTION kingsman: golden circle another controversial sex scene URL,0
film mixed reviews get way potential box office success? URL #kingsman,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
omg _ URL,1
rt USER_MENTION looking photos pedro pascal kingsman world premiere: URL,0
rt USER_MENTION actually plot kingsman 2 good 20 minutes URL,0
rt USER_MENTION wanna go see new kingsman movie know hoe fire,0
rt USER_MENTION watching golden circle i'd rather j. a. bayona direct #manofsteel2 instead matthew vaughn.,1
kingsman:the golden circle dope af!,0
rt USER_MENTION awesome time premiere. asking suit courtesy USER_MENTION - thanks guys!,0
'kingsman: golden circle' make statement president trump? (spoilers!) URL URL,0
#kingsman: follow-up 'the secret service' need stars less subtlety? URL URL,0
'kingsman: golden circle' make statement president trump? (spoilers!) URL,0
rt USER_MENTION true #kingsman would answer right one? #kingsmanwithmn,1
jam_s habr imaginado elton john podr cargarse _l solito una decente pel cula de acci n. #kingsman,1
jesus URL,1
rt USER_MENTION cine de acci n busca trascender los l mites del_blockbuster. la cr tica de USER_MENTION de #kingsman,1
must see URL,0
kingsman: golden circle fun short time ends long dull. also looses charm first film.,0
'kingsman: golden circle' building bigger better james bond URL,0
watching kingsman 2,0
#kingsman #pug #ifunny@cococanbelovely URL URL,0
enjoyed first kingsman way thought would looking forward one! URL,0
rt USER_MENTION isn't kingsman: gold circle bad. sooooooooooooooooooo bad that...!! #kingsman URL,0
rt USER_MENTION review - kingsman: golden circle plenty action URL URL,0
wanna go see kingsman bad 1) im broke 2) much adult shit,0
rt USER_MENTION #kingsman: follow-up 'the secret service' need stars less subtlety? URL URL,0
rt USER_MENTION #kingsman,1
lmaooooooo URL,1
rt USER_MENTION accept #orangejacketchallenge USER_MENTION m supporting USER_MENTION nominate fellow statesman,1
rt USER_MENTION new video: #kingsman #thegoldencircle behind-the-scenes secrets &amp; easter eggs,0
okay wait see kingsman 2,0
rt USER_MENTION kingsman secret service 2014 URL,0
liked USER_MENTION video URL midnight screenings - kingsman: golden circle,0
rt USER_MENTION lighting laboratory. #kingsman theaters now! get tickets today: URL URL,0
rt USER_MENTION today training wheels off. #kingsman: golden circle theaters now. URL URL,0
la peli guay bastante m_s flojilla la primera y sin la misma frescura pero igualmente un disfrute. #kingsman #elcirculodeoro,1
rt USER_MENTION actually plot kingsman 2 good 20 minutes URL,0
wanna go see kingsman,0
rt USER_MENTION many origin stories jockeying position. shameful waste good acting talent. second kingsman hurt,0
kingsman golden circle best film seen year. thank USER_MENTION,0
rt USER_MENTION training wheels. off. #kingsman: golden circle playing. get way can.,0
USER_MENTION i'm watch kingman: golden circle. i'll let know think it. love white house down.,0
rt USER_MENTION 170920 # #kingsmanthegoldencircle #kingsman #markstrong URL,1
kingsman 2 _ _ fox URL,1
rt USER_MENTION awesome time premiere. asking suit courtesy USER_MENTION - thanks guys!,0
watched kingsman 2 today n p great,0
kingsman 2: golden circle great #kingsman,0
review: kingsman partner statesman located kentucky every american stereotype abused URL,0
win kingsman: golden circle prize pack! URL,0
review kingsman: golden circle letterboxd URL,1
rusty rodman #hiphop #newmusic #flashbackfriday #fridaynight #uberlondon #kingsman #rap #rapper URL,0
i'm wanna go see kingsman weekend (and again).,0
rt USER_MENTION kingsman secret service 2014 URL,1
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
neddy eggsy he's fine piece meat kingsman _ URL,0
recliner seats ready watch #kingsman golden circle USER_MENTION URL,1
many reasons enjoy writing review USER_MENTION . it's good! film though... URL,0
rt USER_MENTION rae: hello everyone would like talk kingsman movies basically grown version agent cody bank,0
review | kingsman: golden circle but_better URL URL,0
rt USER_MENTION pug first kingsman movie attended premiere kingsman golden circle london hes wearing,0
kingsman: golden circle,0
rt USER_MENTION kingsman: golden circle !! bastards use russian lingo!,0
like this'll probably flop rt kingsman gc bc wanna talk tgc,0
rt USER_MENTION watch #kingsman: #thegoldencircle stars quiz one another film. _ URL,1
went see kingsman 2 tonight date night. URL,0
rt USER_MENTION spectacular eh? #kingsman: golden circle theaters now. URL URL,0
rt USER_MENTION kingsman golden circle_,0
liked USER_MENTION video URL kingsman: golden circle angry movie review,1
tened cuidado con la monta_a rusa de emociones es kingsman 2,1
sneak peek new demo. #enjoy #kingsman #49ers #uber #mahirakhan #dotard #crystalmaze URL,1
fyi mark strong singing country roads included kingsman: golden circle soundtrack,0
frying day,1
nan,0
kingsman: golden circle URL,0
saw #kingsman last night. eggsy.,0
rt USER_MENTION initial reaction kingsman 2 got elton john stole whole damn show. god talk comedic r,0
news went wallace collection wandered around greenwich USER_MENTION watched kingsman.,0
rt USER_MENTION awesome time premiere. asking suit courtesy USER_MENTION - thanks guys!,0
eso jeff bridges catando whisky es lo puto mejor #kingsman,0
USER_MENTION still want submit dvpit. thankfully didn't get ficbunnies kingsman hopefully i'll finish book,0
URL #domainname sale: URL,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
rt USER_MENTION also say writing kingsman secret service way better kingsman golden circle.,0
got done watching new kingsman good movie emotional,0
kingsman 2 ? 7/10 un bon film bien dr_le,0
rt USER_MENTION channeling inner eggsy. #kingsman URL,0
kingsman: golden circle (2017) pero qu_ les pasa los cr ticos? es fabulosa! va un paso m_s all_ su pred URL,1
aj oj &amp; alex take look sequel stylish spy movie kingsman! statesmen cool? URL,0
rt USER_MENTION q:,1
rt USER_MENTION totally casual. nothing see here. #kingsman URL,0
honestly first kingsman overhyped movie year. good best.,0
plan waiting 4 years watching #kingsman film well. didn't particularly merit seeing theaters 1st time re-up...,0
